,company,summary,overall_ratings,Sentiment
123,google,Software Engineer,5.0,NEUTRAL
124,google,google,5.0,NEUTRAL
125,google,WTF are they even doing?,1.0,NEGATIVE
126,google,All about the people,4.0,NEUTRAL
127,google,Great,5.0,POSITIVE
128,google,Partner Engineer,4.0,NEUTRAL
129,google,Google,5.0,NEUTRAL
130,google,"Great people, nice benefits",5.0,POSITIVE
131,google,Security Investigations,4.0,NEUTRAL
132,google,Pretty good,4.0,POSITIVE
133,google,Good starting point for new grads,4.0,POSITIVE
134,google,Company,5.0,NEUTRAL
135,google,Software Engineering Manager,5.0,NEUTRAL
136,google,Coder,5.0,NEUTRAL
137,google,"Decent Place to Work, But Large",4.0,MIXED
138,google,"High stress, unclear future values",3.0,NEUTRAL
139,google,Operations manager,5.0,NEUTRAL
140,google,Intern Experience,5.0,NEUTRAL
141,google,Software Engineering Intern,5.0,NEUTRAL
142,google,Great atmosphere,5.0,POSITIVE
143,google,Excellent Company,5.0,POSITIVE
144,google,Overall is very good,5.0,POSITIVE
145,google,Fun perks - wouldn’t contract there again,2.0,POSITIVE
146,google,Loved my time there!,5.0,POSITIVE
147,google,Brand Ambassador,4.0,NEUTRAL
148,google,So far it has not been so long,3.0,NEGATIVE
149,google,Good company to work for,5.0,POSITIVE
150,google,Was ok to work there but not fast paced,2.0,MIXED
151,google,Product Marketer,3.0,NEUTRAL
152,google,Google is racist company,1.0,NEGATIVE
153,google,Work life balance is gr8,4.0,POSITIVE
154,google,Software Engineer,4.0,NEUTRAL
155,google,Great company overall,4.0,POSITIVE
156,google,Designer,5.0,NEUTRAL
157,google,Amazing workplace,5.0,POSITIVE
158,google,Good,4.0,POSITIVE
159,google,Great Place!,5.0,POSITIVE
160,google,It was great.,5.0,POSITIVE
161,google,Product Manager,4.0,NEUTRAL
162,google,Great Company,5.0,POSITIVE
163,google,Good,5.0,POSITIVE
164,google,Data Scientist,5.0,NEUTRAL
165,google,Associate,5.0,NEUTRAL
166,google,Cart Boy,5.0,NEUTRAL
167,google,Great Company,5.0,POSITIVE
168,google,Very challanging,4.0,NEUTRAL
169,google,OK job,4.0,POSITIVE
170,google,Supply Chain Program Manager,5.0,NEUTRAL
171,google,Data Analyst,5.0,NEUTRAL
172,google,Awesome and supportive place to work,5.0,POSITIVE
173,google,Enjoyed It,4.0,POSITIVE
174,google,PeopleOps,5.0,NEUTRAL
175,google,Hardware Engineer,5.0,NEUTRAL
176,google,Great place to work,5.0,POSITIVE
177,google,Director,3.0,NEUTRAL
178,google,Software engineer,5.0,NEUTRAL
179,google,My experience at Google USA,5.0,NEUTRAL
180,google,Good place to work if you are not eager to do something,5.0,POSITIVE
181,google,Review,4.0,NEUTRAL
182,google,data analyst,3.0,NEUTRAL
183,google,Google EP Intern,5.0,NEUTRAL
184,google,It's Google,5.0,NEUTRAL
185,google,Amazing experience,4.0,POSITIVE
186,google,Meh,2.0,NEGATIVE
187,google,Amazing company! The best in its class!,5.0,POSITIVE
188,google,Software Engineer,3.0,NEUTRAL
189,google,CEO who doesn't listen to employees,1.0,NEUTRAL
190,google,The hype is real.,5.0,POSITIVE
191,google,good,5.0,POSITIVE
192,google,Compensation Associate,5.0,NEUTRAL
193,google,Overall good company to work with,5.0,POSITIVE
194,google,Love it,5.0,POSITIVE
195,google,"Great vision, but sometimes unrealistic goals",5.0,MIXED
196,google,Great Company,3.0,POSITIVE
197,google,Good place to work,4.0,POSITIVE
198,google,Love it!,5.0,POSITIVE
199,google,Accountant,5.0,NEUTRAL
200,google,Challenging and rewarding work,5.0,POSITIVE
201,google,"Great culture, but lots of cooks on some projects",4.0,MIXED
202,google,Software ENgineer,4.0,NEUTRAL
203,google,Good company,4.0,POSITIVE
204,google,"Great Company, Known Your Worth",4.0,POSITIVE
205,google,Amazing place to work for,5.0,POSITIVE
206,google,Awesome,5.0,POSITIVE
207,google,Superb,5.0,POSITIVE
208,google,Software Engineer,5.0,NEUTRAL
209,google,Good employer,4.0,POSITIVE
210,google,Great company!,4.0,POSITIVE
211,google,Software Engineer,4.0,NEUTRAL
212,google,Software Engineer,5.0,NEUTRAL
213,google,"Google people, ambitious objectives",5.0,NEUTRAL
214,google,BSA,4.0,NEUTRAL
215,google,A fun ride,4.0,POSITIVE
216,google,Part time,5.0,NEUTRAL
217,google,Sales,5.0,NEUTRAL
218,google,Engineering Practicum Internship,5.0,NEUTRAL
219,google,The best company to work for!!,5.0,POSITIVE
220,google,SWE Intern,5.0,NEUTRAL
221,google,Good Work but Hectic,4.0,POSITIVE
222,google,Partnerships Manager,5.0,NEUTRAL
223,google,Programmer,5.0,NEUTRAL
224,google,A company culture build around the millenial sterotype,2.0,NEUTRAL
225,google,Great company - Long hours depending on position,5.0,POSITIVE
226,google,Product Manager,5.0,NEUTRAL
227,google,Account Executive,4.0,NEUTRAL
228,google,Software Eng,5.0,NEUTRAL
229,google,"Great from afar, dysfunctional from within",1.0,POSITIVE
230,google,Best place to work,5.0,POSITIVE
231,google,Analyst,4.0,NEUTRAL
232,google,Software Engineer,5.0,NEUTRAL
233,google,Great Place to work,5.0,POSITIVE
234,google,sde,5.0,NEUTRAL
235,google,Amazing ambitious workplace,4.0,POSITIVE
236,google,Good,5.0,POSITIVE
237,google,Senior Program Manager,5.0,NEUTRAL
238,google,Director of Developmental Sales & Marketing,1.0,NEUTRAL
239,google,"Great teammates, projects, pay, and perks",5.0,POSITIVE
240,google,Awesome,5.0,POSITIVE
241,google,Great Company to work with,5.0,POSITIVE
242,google,"Love working at Google in Boulder, CO",5.0,POSITIVE
243,google,Great coworkers and good environment to learn,5.0,POSITIVE
244,google,Wonderful company,5.0,POSITIVE
245,google,Youtube Partner Account Manager,5.0,NEUTRAL
246,google,Undeniably a great place to work,5.0,POSITIVE
247,google,Great place to work,5.0,POSITIVE
248,google,Google Cloud Sales,5.0,NEUTRAL
249,google,Great place to work,5.0,POSITIVE
250,google,Best Company in the world!,5.0,POSITIVE
251,google,Everything you’d think,4.0,NEUTRAL
252,google,Software Engineer,3.0,NEUTRAL
253,google,Engineer review for google company,5.0,NEUTRAL
254,google,Engineering Practicum Intern,5.0,NEUTRAL
255,google,Product Marketing Manager,4.0,NEUTRAL
256,google,Software Engineer,5.0,NEUTRAL
257,google,Site Reliability Engineering,5.0,NEUTRAL
258,google,Competitive perks and pay,4.0,POSITIVE
259,google,It's a boost for a better things,3.0,POSITIVE
260,google,Not the same company it used to be,3.0,NEGATIVE
261,google,Good Company,5.0,POSITIVE
262,google,The best company of my career.,5.0,POSITIVE
263,google,Great company to work,5.0,POSITIVE
264,google,good,5.0,POSITIVE
265,google,"understading data workflow, and how it effect to bussiness",3.0,NEUTRAL
266,google,Google,3.0,NEUTRAL
267,google,"Great place, especially if you find a project you like",5.0,POSITIVE
268,google,Best Company,5.0,POSITIVE
269,google,Good company to work,5.0,POSITIVE
270,google,Good place to work,5.0,POSITIVE
271,google,Engineer,5.0,NEUTRAL
272,google,"Comfortable, but not always best for ambitious people",4.0,MIXED
273,google,Awesome,4.0,POSITIVE
274,google,Forcing me to write a review,4.0,NEUTRAL
275,google,Program Manager,5.0,NEUTRAL
276,google,Great Company and Perks,5.0,POSITIVE
277,google,Playstore Production Associate,1.0,NEUTRAL
278,google,Manager,3.0,NEUTRAL
279,google,No great expectations.,3.0,NEGATIVE
280,google,AdWords Representative,5.0,NEUTRAL
281,google,SQL,5.0,NEUTRAL
282,google,Great Company to Work For,5.0,POSITIVE
283,google,"Great company, lots of benefits",4.0,POSITIVE
284,google,Good job,5.0,POSITIVE
285,google,Software Engineer,5.0,NEUTRAL
286,google,Google Cloud,4.0,NEUTRAL
287,google,Great opportunity!,4.0,POSITIVE
288,google,Product Quality Analyst,5.0,POSITIVE
289,google,UX Designer,5.0,NEUTRAL
290,google,Good company to work for,3.0,POSITIVE
291,google,Director Sales,5.0,NEUTRAL
292,google,"Good company with good benefits, lots of red tape & big company process however",4.0,POSITIVE
293,google,Account Manager,4.0,NEUTRAL
294,google,Hard to beat,4.0,POSITIVE
295,google,Amazing,5.0,POSITIVE
296,google,Great Company,5.0,POSITIVE
297,google,go to market specialist,4.0,NEUTRAL
298,google,Software Developer,4.0,NEUTRAL
299,google,Head of (a department),3.0,NEUTRAL
300,google,Google a technology company,5.0,NEUTRAL
301,google,CSSI Summer Intern Review,5.0,NEUTRAL
302,google,Marketing Experience,5.0,NEUTRAL
303,google,Software engineer,4.0,NEUTRAL
304,google,Generally good company to work for,4.0,POSITIVE
305,google,Software Engineer,5.0,NEUTRAL
306,google,RN,5.0,NEUTRAL
307,google,great place but not the best rewards,5.0,MIXED
308,google,Good place to gain professional experience,4.0,POSITIVE
309,google,Company full of people running around caring only about promo,1.0,NEUTRAL
310,google,Software Engineer,5.0,NEUTRAL
311,google,HRBP,4.0,NEUTRAL
312,google,Software Engineer,4.0,NEUTRAL
313,google,Excellent benefits and people,5.0,POSITIVE
314,google,Greatest company of our generation,5.0,POSITIVE
315,google,software engineer,1.0,NEUTRAL
316,google,Massage Therapist,4.0,NEUTRAL
317,google,Google will come out as winner in Artificial Intelligence,5.0,NEUTRAL
318,google,Software Engineer,5.0,NEUTRAL
319,google,Past employee - Product Manager,4.0,NEUTRAL
320,google,Great place to work for,5.0,POSITIVE
321,google,X Internship,5.0,NEUTRAL
322,google,Overpaid but undervalued,1.0,NEGATIVE
323,google,Good,5.0,POSITIVE
324,google,good,4.0,POSITIVE
325,google,I broke down crying on the datacenter floor,3.0,NEGATIVE
326,google,Director,3.0,NEUTRAL
327,google,Software Engineer,5.0,NEUTRAL
328,google,Google,5.0,NEUTRAL
329,google,Not all parts of Google are created equal,3.0,NEUTRAL
330,google,ok,3.0,NEUTRAL
331,google,Software Engineer,4.0,NEUTRAL
332,google,Good choice for smart people seeking stability,5.0,POSITIVE
333,google,Software engineer,4.0,NEUTRAL
334,google,Senior Software Engineer,5.0,NEUTRAL
335,google,Staff software engineering,5.0,NEUTRAL
336,google,Everything just as good as you heard it would be,5.0,POSITIVE
337,google,Program Manager,5.0,NEUTRAL
338,google,software developer,3.0,NEUTRAL
339,google,Program Manager,5.0,NEUTRAL
340,google,Great place to work,5.0,POSITIVE
341,google,quantitative analyst,5.0,NEUTRAL
342,google,Meh,3.0,NEGATIVE
343,google,Software Engineer,5.0,NEUTRAL
344,google,Cloud PM,5.0,NEUTRAL
345,google,Not so bad,4.0,NEGATIVE
346,google,Great place,4.0,POSITIVE
347,google,Senior Program Manager,5.0,NEUTRAL
348,google,Great place,5.0,POSITIVE
349,google,Vendor,3.0,NEUTRAL
350,google,developer,5.0,NEUTRAL
351,google,Branded Content Manager,3.0,NEUTRAL
352,google,Good Place to Work at,3.0,POSITIVE
353,google,Amazing place to develop technical skills,5.0,POSITIVE
354,google,worker,5.0,NEUTRAL
355,google,Great company,5.0,POSITIVE
356,google,Still great to work at.,5.0,POSITIVE
357,google,Executive sous chef,5.0,NEUTRAL
358,google,Legal Assistant,5.0,NEUTRAL
359,google,software engineer,5.0,NEUTRAL
360,google,Google Cloud,2.0,NEUTRAL
361,google,Senior Treasury Analyst,4.0,NEUTRAL
362,google,Associate Account Strategist,5.0,NEUTRAL
363,google,Attorney,5.0,NEUTRAL
364,google,Google,4.0,NEUTRAL
365,google,Overall great,5.0,POSITIVE
366,google,Super dope place to work,5.0,POSITIVE
367,google,Tju,4.0,NEUTRAL
368,google,Good place to work,5.0,POSITIVE
369,google,Work Experience at Google,5.0,NEUTRAL
370,google,Engineering paradise,5.0,POSITIVE
371,google,technician,4.0,NEUTRAL
372,google,Good,5.0,POSITIVE
373,google,Shiny Apple,3.0,NEUTRAL
374,google,"Great people, great development",5.0,POSITIVE
375,google,Best company to work for,5.0,POSITIVE
376,google,Senior Account Strategist,5.0,NEUTRAL
377,google,Software Engineer III,5.0,NEUTRAL
378,google,Good pay and work,5.0,POSITIVE
379,google,Analytics Intern,4.0,NEUTRAL
380,google,.,5.0,NEUTRAL
381,google,Need to write review to unlock Glassdoor content,4.0,NEUTRAL
382,google,Account Manager,2.0,NEUTRAL
383,google,marketing manager,5.0,NEUTRAL
384,google,Good Place to Work,5.0,POSITIVE
385,google,"Google is great, recruiting org not so much",2.0,MIXED
386,google,Great place to work,5.0,POSITIVE
387,google,Okay place to work,2.0,NEUTRAL
388,google,A great place for a fixed period of time,4.0,POSITIVE
389,google,HR generalist,4.0,NEUTRAL
390,google,store lead,1.0,NEUTRAL
391,google,Probably the best place to work,5.0,POSITIVE
392,google,amazing benefits,4.0,POSITIVE
393,google,Everything you hear is true,5.0,POSITIVE
394,google,Wonderful company to build your career,4.0,POSITIVE
395,google,T,3.0,NEUTRAL
396,google,Excellent long term comany,5.0,POSITIVE
397,google,"After many years, it's still a phenomenal place to work and learn",5.0,POSITIVE
398,google,great company,5.0,POSITIVE
399,google,Legal,5.0,NEUTRAL
400,google,Great Company,5.0,POSITIVE
401,google,Collaboration,5.0,NEUTRAL
402,google,I am working on my own business p&p services LLC I'm sure it be of use for anything you may need especially technology,5.0,NEUTRAL
403,google,Advanced grad school,5.0,NEUTRAL
404,google,Early Childhood Educator,5.0,NEUTRAL
405,google,Google at its best!,5.0,POSITIVE
406,google,It's a fun place to be- obviously it's Google,3.0,POSITIVE
407,google,Good place to work,5.0,POSITIVE
408,google,Google Fixed Term Residency Program,5.0,NEUTRAL
409,google,It's like they say,5.0,NEUTRAL
410,google,review,4.0,NEUTRAL
411,google,Intern,3.0,NEUTRAL
412,google,Sr. Interactive Designer (Sr. Solution Consultant),5.0,NEUTRAL
413,google,awesome,4.0,POSITIVE
414,google,Fulfillment Lead,4.0,POSITIVE
415,google,Technical Recruiter,4.0,NEUTRAL
416,google,Google PRY is not the same as Google,1.0,NEGATIVE
417,google,"Overall really great place to work, but there are a few areas for improvement",4.0,MIXED
418,google,Early Google[x] was career altering,5.0,NEUTRAL
419,google,Account Manager,4.0,NEUTRAL
420,google,Sr. Software Engineer,4.0,NEUTRAL
421,google,PgM,4.0,NEUTRAL
422,google,Technical Account Manager,5.0,NEUTRAL
423,google,PgM review,5.0,NEUTRAL
424,google,Loved it,5.0,POSITIVE
425,google,Google Specialist,5.0,NEUTRAL
426,google,Adsense Publisher,5.0,NEUTRAL
427,google,Google - Analytical Lead,5.0,NEUTRAL
428,google,great pay,4.0,POSITIVE
429,google,Good Company,4.0,POSITIVE
430,google,Great,5.0,POSITIVE
431,google,Staff software engineer,5.0,NEUTRAL
432,google,Founders are great and still active,3.0,POSITIVE
433,google,Customer sales rep,4.0,NEUTRAL
434,google,Industry Manager,5.0,NEUTRAL
435,google,Operations Specialist,5.0,NEUTRAL
436,google,"Demanding, but great work-life balance",4.0,POSITIVE
437,google,Great place to work,4.0,POSITIVE
438,google,Software engineer intern,5.0,NEUTRAL
439,google,Great place,5.0,POSITIVE
440,google,Amazing,5.0,POSITIVE
441,google,Sales,4.0,NEUTRAL
442,google,Economically favorite,4.0,POSITIVE
443,google,Dream Job,5.0,POSITIVE
444,google,Great place to work,5.0,POSITIVE
445,google,Incredible,5.0,POSITIVE
446,google,Great internship experience,5.0,POSITIVE
447,google,Great for new grads,4.0,POSITIVE
448,google,Engineer,5.0,NEUTRAL
449,google,Senior Analytical Lead,3.0,NEUTRAL
450,google,Add mutual respect for diversity,2.0,NEUTRAL
451,google,Best place to work at.,5.0,POSITIVE
452,google,Business Dev,5.0,NEUTRAL
453,google,Perfect place to grow your tech skills,5.0,POSITIVE
454,google,very good company,5.0,POSITIVE
455,google,Geekland,5.0,NEUTRAL
456,google,Innovative culture but rough WLB,5.0,MIXED
457,google,Working for Google is phenomenal,5.0,POSITIVE
458,google,Great experience but not without issues,4.0,POSITIVE
459,google,G review,5.0,NEUTRAL
460,google,Google Review,5.0,NEUTRAL
461,google,Manager,5.0,NEUTRAL
462,google,Great place to work,4.0,POSITIVE
463,google,Software Engineer,4.0,NEUTRAL
464,google,Not what exacted,2.0,NEGATIVE
465,google,"Worked for years, and probably will work for many more",5.0,POSITIVE
466,google,Rough workload,3.0,NEGATIVE
467,google,Vice President,5.0,NEUTRAL
468,google,Google ads,5.0,NEUTRAL
469,google,"The good stuff is great, but the bad is worrying",4.0,MIXED
470,google,Meh,1.0,NEGATIVE
471,google,Google is great for a while,5.0,POSITIVE
472,google,Software Engineer,5.0,NEUTRAL
473,google,CEO,5.0,NEUTRAL
474,google,Unethical,1.0,NEGATIVE
475,google,Great People,5.0,POSITIVE
476,google,Good stuff,5.0,POSITIVE
477,google,Google Inc Review,5.0,NEUTRAL
478,google,"Great Company, Poro Managers",4.0,POSITIVE
479,google,Short review,4.0,NEUTRAL
480,google,Great culture,5.0,POSITIVE
481,google,On the decline,3.0,NEGATIVE
482,google,Software Development Engineer,5.0,NEUTRAL
483,google,Management,5.0,NEUTRAL
484,google,Great,4.0,POSITIVE
485,google,Big bumps,3.0,POSITIVE
486,google,With great culture and benefits come great responsibilities and bureaucracy,4.0,POSITIVE
487,google,-,5.0,NEUTRAL
488,google,Work at google,5.0,NEUTRAL
489,google,A great place to start,5.0,POSITIVE
490,google,Great place to work,5.0,POSITIVE
491,google,Good place to start your career,5.0,POSITIVE
492,google,Disappointing change in culture,3.0,NEGATIVE
493,google,Analyst,4.0,NEUTRAL
494,google,An excellent place to work,5.0,POSITIVE
495,google,"Great lifestyle, but maybe not the most exciting job",4.0,MIXED
496,google,Google is great,5.0,POSITIVE
497,google,The Brightest!,4.0,POSITIVE
498,google,great,4.0,POSITIVE
499,google,Engineer,5.0,NEUTRAL
500,google,Google,4.0,NEUTRAL
501,google,big and bloated,2.0,NEGATIVE
502,google,The company is too large now,4.0,NEGATIVE
503,google,Employee Satisfaction,5.0,NEUTRAL
504,google,Great Experience,5.0,POSITIVE
505,google,Software Tech Intern,4.0,NEUTRAL
506,google,Content Review Specialist,5.0,NEUTRAL
507,google,engineer,5.0,NEUTRAL
508,google,Engineer,2.0,NEUTRAL
509,google,Good for starting your career,3.0,POSITIVE
510,google,Perks don't always outweigh burnout rate,4.0,NEUTRAL
511,google,Horrible company,1.0,NEGATIVE
512,google,"Great company/benefits, can be slow-paced",5.0,POSITIVE
513,google,SRE,4.0,NEUTRAL
514,google,Great Perks. Very competitive. Opportunities limited at higher levels,4.0,POSITIVE
515,google,All that glitters is not gold,2.0,NEGATIVE
516,google,TPM,5.0,NEUTRAL
517,google,Worst of all places I worked at (out of 7 employers in total),1.0,NEGATIVE
518,google,Great place to work,5.0,POSITIVE
519,google,software engineer,5.0,NEUTRAL
520,google,Engineering Manager,5.0,NEUTRAL
521,google,It was okay,3.0,POSITIVE
522,google,Big Company with a Heart,5.0,POSITIVE
523,google,Good huge company to work for,4.0,POSITIVE
524,google,Amazing,5.0,POSITIVE
525,google,Great company,5.0,POSITIVE
526,google,Good Experience,4.0,POSITIVE
527,google,Golden Handcuffs,2.0,NEUTRAL
528,google,Professional Services,5.0,NEUTRAL
529,google,Account Manager,3.0,NEUTRAL
530,google,Program Manager,3.0,NEUTRAL
531,google,Program Manager,1.0,NEUTRAL
532,google,A greate Company,5.0,POSITIVE
533,google,No career path but great perks!,2.0,POSITIVE
534,google,sr staff,5.0,NEUTRAL
535,google,Software Engineer,5.0,NEUTRAL
536,google,Great company,4.0,POSITIVE
537,google,Overall a good place to work for,4.0,POSITIVE
538,google,Good experience,4.0,POSITIVE
539,google,Bad team placement and end up doing boring infrastructure work.,3.0,NEGATIVE
540,google,Product Infrastructure,5.0,NEUTRAL
541,google,web developer,5.0,NEUTRAL
542,google,Google,5.0,NEUTRAL
543,google,software engerneer,4.0,NEUTRAL
544,google,Short Review of Working at Google,5.0,NEUTRAL
545,google,Mechanical engineer,4.0,NEUTRAL
546,google,Business Analyst,4.0,NEUTRAL
547,google,"The dazzle fades quickly, but there's still a faint glow from time to time",3.0,MIXED
548,google,idl,5.0,NEUTRAL
549,google,"Great perks, work-life balance, great for self-starter but very specific /repetitive role per individual",5.0,MIXED
550,google,Good employer,5.0,POSITIVE
551,google,Loved working for Google!,5.0,POSITIVE
552,google,"Great company, needs diversity and inclusion work",4.0,POSITIVE
553,google,reasons to work for Google,5.0,NEUTRAL
554,google,about the company,4.0,NEUTRAL
555,google,Great place to work,5.0,POSITIVE
556,google,Sales Development Representative,5.0,NEUTRAL
557,google,Still the best company to work with.,5.0,POSITIVE
558,google,Amazing working place,5.0,POSITIVE
559,google,Software engineer,5.0,NEUTRAL
560,google,Management iffy,4.0,NEUTRAL
561,google,Great place to work,4.0,POSITIVE
562,google,Still a great company,5.0,POSITIVE
563,google,Good Company,5.0,POSITIVE
564,google,Google Cloud Platform,4.0,NEUTRAL
565,google,Product Technology Manager,5.0,NEUTRAL
566,google,Best place to work for,5.0,POSITIVE
567,google,Great overall,5.0,POSITIVE
568,google,Great for the long run,5.0,POSITIVE
569,google,Very employee-focused,5.0,NEUTRAL
570,google,swe,5.0,NEUTRAL
571,google,Great Culture,5.0,POSITIVE
572,google,Sr DevOps and Linux systems engineer,5.0,NEUTRAL
573,google,Should work here,5.0,NEUTRAL
574,google,Associate Product Marketing Manager,5.0,NEUTRAL
575,google,Great place to work,5.0,POSITIVE
576,google,Google review,5.0,NEUTRAL
577,google,ITRP - A great start!,5.0,POSITIVE
578,google,Great,5.0,POSITIVE
579,google,Lead Technical Project Manager,5.0,NEUTRAL
580,google,Software Engineer,5.0,NEUTRAL
581,google,Best company to work in.,5.0,POSITIVE
582,google,Great Company to Work For,5.0,POSITIVE
583,google,Software Engineer,5.0,NEUTRAL
584,google,Google Loves its employees,5.0,POSITIVE
585,google,SDE,5.0,NEUTRAL
586,google,Salary,5.0,NEUTRAL
587,google,Wonderful Place to Work,4.0,POSITIVE
588,google,Principal Account Manager,5.0,NEUTRAL
589,google,"Open, Diversified, Intelligent, Respected",5.0,NEUTRAL
590,google,Google,5.0,NEUTRAL
591,google,Staff Software Engineer,3.0,NEUTRAL
592,google,Senior Staff Software Engineer,5.0,NEUTRAL
593,google,Great Perks,4.0,POSITIVE
594,google,No work life balance,3.0,NEGATIVE
