time,attempt_suicide,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,employment,job_title,edu_level,improve_yourself_how
5/28/2016 13:57:49,No,Male,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,NEET parasite,"Some college, no degree","Joined a gym/go to the gym, Therapy"
5/28/2016 14:01:59,No,Male,Straight,25,$0,White non-Hispanic,Overweight,Yes,No,No,3,No,Yes,"wingman/wingwoman, date coaching",A student,T,Professional degree,Other exercise
5/28/2016 14:03:43,Yes,Male,Straight,27,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,5,No,Yes,wingman/wingwoman,A student,Designer,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/28/2016 16:46:11,No,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,10,No,No,wingman/wingwoman,Employed for wages,Account Manager,Bachelor?€?s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/28/2016 17:04:03,No,Female,Straight,25,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,A student,student teacher,Bachelor?€?s degree,Other exercise
5/28/2016 20:36:53,No,Male,Straight,22,"$1 to $10,000",Black,Normal weight,Yes,No,No,15,No,No,Set me up with a date,A student,Guest Advisor,"Some college, no degree",None
5/28/2016 20:56:31,No,Male,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,A student,...,"Some college, no degree","Therapy, Other exercise"
5/28/2016 21:42:27,No,Female,Straight,21,"$10,000 to $19,999",Black,Overweight,No,No,No,0,Yes,No,I don't want help,Employed for wages,customer service,"Some college, no degree",None
5/28/2016 21:57:42,No,Female,Straight,31,"$40,000 to $49,999",White non-Hispanic,Overweight,No,No,No,30,Yes,Yes,I don't want help,Employed for wages,Teacher,Master?€?s degree,Therapy
5/28/2016 23:20:15,No,Male,Straight,18,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Yes,date coaching,A student,None,"Some high school, no diploma",None
5/29/2016 0:01:52,No,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,30,Yes,No,"Set me up with a date, I don't want help",A student,Warehouse Associate,Bachelor?€?s degree,Joined a gym/go to the gym
5/29/2016 6:10:45,No,Male,Straight,24,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,No,11,Yes,No,I don't want help,Employed for wages,Terminal worker ,"Some high school, no diploma","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/29/2016 9:54:55,No,Male,Bisexual,23,"$40,000 to $49,999",White non-Hispanic,Overweight,Yes,Yes,No,10,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,PA,Bachelor?€?s degree,"Joined a gym/go to the gym, Other exercise"
5/29/2016 12:25:01,No,Male,Straight,28,"$20,000 to $29,999",Black,Normal weight,No,No,No,1,Yes,No,I don't want help,Employed for wages,Case Worker,Bachelor?€?s degree,"Joined a gym/go to the gym, Other exercise"
5/29/2016 12:40:43,Yes,Male,Straight,18,"$1 to $10,000",Asian,Overweight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Home Depot order fulfillment,"High school graduate, diploma or the equivalent (for example: GED)",Started losing weight
5/29/2016 15:41:59,No,Male,Straight,18,$0,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,6,No,No,I don't want help,A student,erdet,"Some high school, no diploma",Joined a gym/go to the gym
5/30/2016 14:48:53,Yes,Transgender male,Bisexual,12,$0,White non-Hispanic,Obese,No,No,Yes and I have,0.5,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching, I don't want help",A student,Boss,"Some high school, no diploma","Cosmetic surgery, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups, None"
6/2/2016 5:04:24,No,Female,Straight,26,"$10,000 to $19,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,10,Yes,No,"Set me up with a date, date coaching",Employed for wages,Consultant IT,Master?€?s degree,Joined a gym/go to the gym
6/3/2016 19:25:46,No,Male,Straight,31,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,10,No,No,I don't want help,Employed for wages,castor,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
6/6/2016 1:36:55,Yes,Female,Straight,17,"$1 to $10,000",Asian,Normal weight,Yes,No,No,20,Yes,Yes,wingman/wingwoman,Employed for wages,receptionist ,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
8/14/2016 15:10:41,No,Male,Straight,18,$0,Asian,Obese,Yes,No,No,16,Yes,Yes,Set me up with a date,Out of work but not currently looking for work,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
9/4/2016 23:10:04,No,Male,Straight,28,"$40,000 to $49,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Scientist,Master?€?s degree,Therapy
